t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3094,0.0005,0.0683,0.0635,-0.3002,-0.0023,0.0619,0.0661
0.022,0.3094,0.0005,0.0683,0.0635,-0.3005,-0.0013,0.0619,0.0661
0.044,0.3098,0.0005,0.0683,0.0635,-0.3004,-0.0016,0.0626,0.0669
0.066,0.3104,0.0006,0.0683,0.0635,-0.3005,-0.0020,0.0634,0.0677
0.088,0.3112,0.0008,0.0683,0.0635,-0.3008,-0.0024,0.0634,0.0677
0.108,0.3134,0.0011,0.0683,0.0635,-0.3013,-0.0029,0.0641,0.0685
0.130,0.3146,0.0013,0.0683,0.0635,-0.3024,-0.0027,0.0649,0.0693
0.152,0.3162,0.0015,0.0621,0.0444,-0.3041,-0.0034,0.0649,0.0693
0.172,0.3182,0.0017,0.0621,0.0444,-0.3056,-0.0038,0.0656,0.0701
0.194,0.3230,0.0021,0.0621,0.0444,-0.3074,-0.0042,0.0664,0.0709
0.216,0.3256,0.0023,0.0621,0.0444,-0.3156,-0.0057,0.0664,0.0709
0.236,0.3283,0.0025,0.0621,0.0444,-0.3184,-0.0060,0.0672,0.0717
0.258,0.3316,0.0027,0.0621,0.0444,-0.3215,-0.0063,0.0672,0.0717
0.280,0.3391,0.0031,0.0621,0.0444,-0.3249,-0.0066,0.0679,0.0724
0.302,0.3433,0.0034,0.0621,0.0444,-0.3307,-0.0071,0.0687,0.0733
0.324,0.3478,0.0036,0.0621,0.0444,-0.3376,-0.0086,0.0687,0.0733
0.346,0.3525,0.0038,0.0702,-0.0067,-0.3423,-0.0089,0.0695,0.0741
0.368,0.3621,0.0043,0.0702,-0.0067,-0.3474,-0.0092,0.0650,-0.0015
0.390,0.3676,0.0046,0.0702,-0.0067,-0.3528,-0.0095,0.0650,-0.0015
0.412,0.3734,0.0049,0.0702,-0.0067,-0.3635,-0.0088,0.0657,-0.0017
0.434,0.3843,0.0054,0.0702,-0.0067,-0.3699,-0.0091,0.0664,-0.0020
0.454,0.3908,0.0058,0.0702,-0.0067,-0.3766,-0.0095,0.0664,-0.0020
0.476,0.3976,0.0061,0.0702,-0.0067,-0.3836,-0.0098,0.0670,-0.0022
0.498,0.4038,0.0064,0.0702,-0.0067,-0.3910,-0.0102,0.0677,-0.0025
0.520,0.4170,0.0071,0.0702,-0.0067,-0.4007,-0.0120,0.0677,-0.0025
0.542,0.4229,0.0074,0.0968,0.0064,-0.4130,-0.0127,0.0684,-0.0028
0.564,0.4299,0.0078,0.0968,0.0064,-0.4215,-0.0131,0.0691,-0.0030
0.586,0.4451,0.0087,0.0968,0.0064,-0.4302,-0.0135,0.0691,-0.0030
0.608,0.4533,0.0092,0.0968,0.0064,-0.4390,-0.0140,0.0698,-0.0033
0.630,0.4670,0.0100,0.0968,0.0064,-0.4518,-0.0120,0.0705,-0.0035
0.652,0.4754,0.0105,0.0968,0.0064,-0.4657,-0.0128,0.0705,-0.0035
0.672,0.4838,0.0111,0.0968,0.0064,-0.4751,-0.0133,0.0711,-0.0038
0.694,0.4923,0.0116,0.0968,0.0064,-0.4845,-0.0138,0.0718,-0.0040
0.716,0.5008,0.0122,0.0968,0.0064,-0.4960,-0.0153,0.0718,-0.0040
0.736,0.5151,0.0132,0.1378,0.0160,-0.5057,-0.0158,0.0725,-0.0043
0.758,0.5237,0.0138,0.1378,0.0160,-0.5155,-0.0164,0.0725,-0.0043
0.780,0.5314,0.0144,0.1378,0.0160,-0.5254,-0.0169,0.1283,0.0240
0.802,0.5469,0.0155,0.1378,0.0160,-0.5404,-0.0178,0.1298,0.0242
0.824,0.5556,0.0162,0.1378,0.0160,-0.5488,-0.0179,0.1298,0.0242
0.846,0.5633,0.0168,0.1378,0.0160,-0.5587,-0.0186,0.1313,0.0243
0.868,0.5720,0.0175,0.1378,0.0160,-0.5687,-0.0192,0.1326,0.0244
0.890,0.5886,0.0189,0.1378,0.0160,-0.5787,-0.0199,0.1326,0.0244
0.912,0.5974,0.0197,0.1378,0.0160,-0.5917,-0.0211,0.1341,0.0246
0.934,0.6130,0.0212,0.1378,0.0160,-0.6017,-0.0218,0.1356,0.0247
0.954,0.6218,0.0221,0.1378,0.0160,-0.6117,-0.0226,0.1356,0.0247
0.976,0.6306,0.0229,0.1378,0.0160,-0.6218,-0.0235,0.1370,0.0249
0.998,0.6385,0.0237,0.1378,0.0160,-0.6319,-0.0243,0.1384,0.0250
1.018,0.6473,0.0246,0.1378,0.0160,-0.6401,-0.0269,0.1384,0.0250
1.040,0.6649,0.0265,0.1378,0.0160,-0.6502,-0.0278,0.1399,0.0251
1.062,0.6757,0.0277,0.1378,0.0160,-0.6652,-0.0292,0.1413,0.0253
1.084,0.6835,0.0285,0.1470,-0.0211,-0.6753,-0.0302,0.1413,0.0253
1.106,0.6914,0.0294,0.1470,-0.0211,-0.6854,-0.0311,0.1414,-0.0212
1.128,0.7070,0.0311,0.1470,-0.0211,-0.6936,-0.0326,0.1428,-0.0217
1.150,0.7159,0.0321,0.1470,-0.0211,-0.7037,-0.0336,0.1428,-0.0217
1.172,0.7247,0.0332,0.1470,-0.0211,-0.7189,-0.0352,0.1442,-0.0222
1.194,0.7336,0.0343,0.1470,-0.0211,-0.7290,-0.0363,0.1457,-0.0227
1.216,0.7504,0.0363,0.1470,-0.0211,-0.7371,-0.0384,0.1457,-0.0227
1.236,0.7583,0.0373,0.1362,-0.0338,-0.7472,-0.0396,0.1471,-0.0232
1.258,0.7672,0.0385,0.1362,-0.0338,-0.7574,-0.0408,0.1471,-0.0232
1.280,0.7760,0.0396,0.1362,-0.0338,-0.7675,-0.0420,0.1485,-0.0237
1.300,0.7919,0.0417,0.1362,-0.0338,-0.7777,-0.0432,0.1499,-0.0242
1.322,0.7998,0.0428,0.1362,-0.0338,-0.7909,-0.0474,0.1499,-0.0242
1.344,0.8087,0.0440,0.1362,-0.0338,-0.8010,-0.0487,0.1514,-0.0247
1.366,0.8186,0.0454,0.1362,-0.0338,-0.8112,-0.0501,0.1528,-0.0252
1.388,0.8355,0.0477,0.1362,-0.0338,-0.8214,-0.0514,0.1528,-0.0252
1.410,0.8435,0.0488,0.1362,-0.0338,-0.8317,-0.0528,0.1542,-0.0257
1.432,0.8515,0.0500,0.1362,-0.0338,-0.8426,-0.0579,0.1557,-0.0262
1.454,0.8684,0.0524,0.1263,-0.0614,-0.8527,-0.0594,0.1557,-0.0262
1.476,0.8764,0.0535,0.1263,-0.0614,-0.8628,-0.0609,0.1260,-0.0597
1.498,0.8844,0.0547,0.1263,-0.0614,-0.8730,-0.0624,0.1270,-0.0607
1.518,0.9004,0.0571,0.1263,-0.0614,-0.8804,-0.0665,0.1270,-0.0607
1.540,0.9094,0.0585,0.1263,-0.0614,-0.8905,-0.0681,0.1280,-0.0617
1.562,0.9183,0.0599,0.1263,-0.0614,-0.9055,-0.0706,0.1290,-0.0626
1.582,0.9263,0.0612,0.1263,-0.0614,-0.9155,-0.0724,0.1290,-0.0626
1.604,0.9432,0.0639,0.1263,-0.0614,-0.9255,-0.0741,0.1300,-0.0636
1.626,0.9522,0.0654,0.1263,-0.0614,-0.9368,-0.0821,0.1300,-0.0636
1.648,0.9601,0.0668,0.1128,-0.0858,-0.9468,-0.0841,0.1310,-0.0646
1.670,0.9690,0.0683,0.1128,-0.0858,-0.9569,-0.0860,0.1320,-0.0655
1.692,0.9849,0.0711,0.1128,-0.0858,-0.9719,-0.0890,0.1320,-0.0655
1.714,0.9929,0.0725,0.1128,-0.0858,-0.9804,-0.0912,0.1330,-0.0665
1.736,1.0087,0.0753,0.1128,-0.0858,-0.9904,-0.0932,0.1340,-0.0675
1.758,1.0176,0.0769,0.1128,-0.0858,-1.0004,-0.0953,0.1340,-0.0675
1.780,1.0255,0.0783,0.1128,-0.0858,-1.0104,-0.0973,0.1349,-0.0684
1.800,1.0344,0.0799,0.1128,-0.0858,-1.0204,-0.0994,0.1360,-0.0694
1.822,1.0503,0.0827,0.1128,-0.0858,-1.0341,-0.1021,0.1360,-0.0694
1.844,1.0582,0.0841,0.1194,-0.0779,-1.0440,-0.1042,0.1370,-0.0704
1.866,1.0670,0.0857,0.1194,-0.0779,-1.0539,-0.1063,0.1223,-0.0764
1.888,1.0828,0.0886,0.1194,-0.0779,-1.0638,-0.1084,0.1223,-0.0764
1.908,1.0916,0.0902,0.1194,-0.0779,-1.0737,-0.1105,0.1231,-0.0775
1.930,1.0995,0.0917,0.1194,-0.0779,-1.0800,-0.1204,0.1239,-0.0786
1.952,1.1083,0.0933,0.1194,-0.0779,-1.0946,-0.1239,0.1239,-0.0786
1.972,1.1249,0.0965,0.1194,-0.0779,-1.1043,-0.1263,0.1246,-0.0796
1.994,1.1328,0.0980,0.1194,-0.0779,-1.1141,-0.1287,0.1254,-0.0806
2.016,1.1417,0.0998,0.1194,-0.0779,-1.1275,-0.1245,0.1254,-0.0806
2.036,1.1496,0.1013,0.1384,-0.0186,-1.1374,-0.1268,0.1262,-0.0817
2.058,1.1665,0.1047,0.1384,-0.0186,-1.1474,-0.1291,0.1262,-0.0817
2.080,1.1744,0.1063,0.1384,-0.0186,-1.1573,-0.1315,0.1269,-0.0827
2.100,1.1823,0.1079,0.1384,-0.0186,-1.1672,-0.1339,0.1277,-0.0837
2.122,1.1981,0.1112,0.1384,-0.0186,-1.1810,-0.1337,0.1277,-0.0837
2.144,1.2060,0.1129,0.1384,-0.0186,-1.1909,-0.1361,0.1285,-0.0848
2.164,1.2149,0.1148,0.1384,-0.0186,-1.2007,-0.1385,0.1293,-0.0858
2.186,1.2316,0.1185,0.1384,-0.0186,-1.2105,-0.1409,0.1293,-0.0858
2.208,1.2395,0.1202,0.1384,-0.0186,-1.2204,-0.1433,0.1301,-0.0869
2.228,1.2473,0.1220,0.1384,-0.0186,-1.2305,-0.1439,0.1308,-0.0879
2.250,1.2620,0.1254,0.1640,-0.0561,-1.2452,-0.1475,0.1308,-0.0879
2.272,1.2709,0.1274,0.1640,-0.0561,-1.2550,-0.1500,0.1613,-0.0524
2.292,1.2787,0.1292,0.1640,-0.0561,-1.2648,-0.1525,0.1613,-0.0524
2.314,1.2875,0.1313,0.1640,-0.0561,-1.2722,-0.1585,0.1625,-0.0529
2.336,1.3041,0.1352,0.1640,-0.0561,-1.2819,-0.1611,0.1637,-0.0535
2.356,1.3129,0.1373,0.1640,-0.0561,-1.2915,-0.1637,0.1637,-0.0535
2.378,1.3217,0.1395,0.1640,-0.0561,-1.3012,-0.1663,0.1649,-0.0540
2.400,1.3305,0.1416,0.1640,-0.0561,-1.3109,-0.1690,0.1661,-0.0545
2.420,1.3393,0.1438,0.1640,-0.0561,-1.3161,-0.1659,0.1661,-0.0545
2.442,1.3549,0.1477,0.1908,-0.0778,-1.3304,-0.1697,0.1673,-0.0550
2.464,1.3637,0.1499,0.1908,-0.0778,-1.3399,-0.1723,0.1685,-0.0555
2.484,1.3724,0.1521,0.1908,-0.0778,-1.3494,-0.1748,0.1685,-0.0555
2.506,1.3812,0.1543,0.1908,-0.0778,-1.3589,-0.1774,0.1697,-0.0561
2.528,1.3968,0.1583,0.1908,-0.0778,-1.3699,-0.1814,0.1709,-0.0566
2.548,1.4054,0.1606,0.1908,-0.0778,-1.3796,-0.1841,0.1709,-0.0566
2.570,1.4141,0.1629,0.1908,-0.0778,-1.3892,-0.1868,0.1720,-0.0571
2.592,1.4294,0.1670,0.1908,-0.0778,-1.4036,-0.1908,0.1720,-0.0571
2.612,1.4371,0.1690,0.1908,-0.0778,-1.4139,-0.1917,0.1732,-0.0576
2.634,1.4456,0.1713,0.1908,-0.0778,-1.4234,-0.1944,0.1745,-0.0582
2.656,1.4532,0.1734,0.2549,-0.0712,-1.4329,-0.1971,0.1745,-0.0582
2.676,1.4627,0.1760,0.2549,-0.0712,-1.4424,-0.1998,0.2474,-0.0550
2.698,1.4779,0.1802,0.2549,-0.0712,-1.4519,-0.2025,0.2497,-0.0555
2.720,1.4855,0.1823,0.2549,-0.0712,-1.4608,-0.2027,0.2497,-0.0555
2.740,1.4930,0.1844,0.2549,-0.0712,-1.4748,-0.2067,0.2520,-0.0560
2.762,1.5015,0.1868,0.2549,-0.0712,-1.4842,-0.2094,0.2541,-0.0564
2.784,1.5175,0.1914,0.2549,-0.0712,-1.4935,-0.2121,0.2541,-0.0564
2.804,1.5260,0.1939,0.2549,-0.0712,-1.5029,-0.2149,0.2563,-0.0569
2.826,1.5326,0.1958,0.2549,-0.0712,-1.5023,-0.2136,0.2563,-0.0569
2.848,1.5486,0.2006,0.2872,-0.1065,-1.5114,-0.2163,0.2586,-0.0574
2.868,1.5570,0.2031,0.2872,-0.1065,-1.5204,-0.2190,0.2607,-0.0579
2.890,1.5645,0.2054,0.2872,-0.1065,-1.5293,-0.2217,0.2607,-0.0579
2.912,1.5795,0.2100,0.2872,-0.1065,-1.5439,-0.2228,0.2630,-0.0583
2.932,1.5879,0.2126,0.2872,-0.1065,-1.5528,-0.2254,0.2652,-0.0588
2.954,1.5963,0.2152,0.2872,-0.1065,-1.5617,-0.2281,0.2652,-0.0588
2.976,1.6047,0.2178,0.2872,-0.1065,-1.5706,-0.2308,0.2674,-0.0593
2.996,1.6131,0.2205,0.2872,-0.1065,-1.5794,-0.2336,0.2696,-0.0598
3.018,1.6289,0.2256,0.2872,-0.1065,-1.5875,-0.2351,0.2696,-0.0598
3.040,1.6363,0.2280,0.3366,-0.1051,-1.5963,-0.2378,0.2719,-0.0602
3.060,1.6437,0.2304,0.3366,-0.1051,-1.6050,-0.2406,0.3289,-0.0746
3.082,1.6520,0.2331,0.3366,-0.1051,-1.6180,-0.2447,0.3289,-0.0746
3.104,1.6686,0.2387,0.3366,-0.1051,-1.6266,-0.2475,0.3320,-0.0753
3.124,1.6751,0.2409,0.3366,-0.1051,-1.6377,-0.2523,0.3320,-0.0753
3.146,1.6834,0.2437,0.3366,-0.1051,-1.6464,-0.2552,0.3350,-0.0760
3.168,1.6916,0.2465,0.3366,-0.1051,-1.6550,-0.2582,0.3379,-0.0766
3.188,1.7073,0.2519,0.3366,-0.1051,-1.6636,-0.2611,0.3379,-0.0766
3.210,1.7156,0.2548,0.3366,-0.1051,-1.6722,-0.2641,0.3410,-0.0773
3.232,1.7239,0.2577,0.3366,-0.1051,-1.6866,-0.2682,0.3440,-0.0780
3.252,1.7312,0.2602,0.3837,-0.0874,-1.6951,-0.2712,0.3440,-0.0780
3.274,1.7395,0.2632,0.3837,-0.0874,-1.7037,-0.2742,0.3469,-0.0786
3.296,1.7551,0.2688,0.3837,-0.0874,-1.7122,-0.2773,0.3499,-0.0793
3.316,1.7624,0.2714,0.3837,-0.0874,-1.7245,-0.2809,0.3499,-0.0793
3.338,1.7698,0.2740,0.3837,-0.0874,-1.7331,-0.2840,0.3530,-0.0800
3.360,1.7863,0.2800,0.3837,-0.0874,-1.7416,-0.2871,0.3559,-0.0806
3.380,1.7946,0.2831,0.3837,-0.0874,-1.7502,-0.2902,0.3559,-0.0806
3.402,1.8028,0.2861,0.3837,-0.0874,-1.7630,-0.2949,0.3589,-0.0813
3.424,1.8102,0.2888,0.3837,-0.0874,-1.7731,-0.2957,0.3589,-0.0813
3.444,1.8248,0.2943,0.4164,-0.0957,-1.7817,-0.2988,0.3620,-0.0820
3.466,1.8330,0.2974,0.4164,-0.0957,-1.7902,-0.3019,0.4028,-0.0538
3.488,1.8403,0.3001,0.4164,-0.0957,-1.7986,-0.3051,0.4028,-0.0538
3.510,1.8485,0.3033,0.4164,-0.0957,-1.8071,-0.3083,0.4064,-0.0541
3.530,1.8648,0.3096,0.4164,-0.0957,-1.8172,-0.3108,0.4100,-0.0543
3.552,1.8730,0.3128,0.4164,-0.0957,-1.8299,-0.3156,0.4100,-0.0543
3.574,1.8812,0.3160,0.4164,-0.0957,-1.8383,-0.3188,0.4134,-0.0546
3.594,1.8893,0.3192,0.4164,-0.0957,-1.8468,-0.3221,0.4170,-0.0548
3.616,1.8966,0.3221,0.4164,-0.0957,-1.8564,-0.3265,0.4170,-0.0548
3.638,1.9111,0.3279,0.4568,-0.1104,-1.8648,-0.3298,0.4206,-0.0551
3.658,1.9193,0.3312,0.4568,-0.1104,-1.8732,-0.3331,0.4206,-0.0551
3.680,1.9265,0.3341,0.4568,-0.1104,-1.8817,-0.3364,0.4240,-0.0554
3.702,1.9420,0.3403,0.4568,-0.1104,-1.8943,-0.3414,0.4276,-0.0556
3.722,1.9502,0.3436,0.4568,-0.1104,-1.9079,-0.3477,0.4276,-0.0556
3.744,1.9584,0.3470,0.4568,-0.1104,-1.9165,-0.3511,0.4312,-0.0559
3.766,1.9666,0.3503,0.4568,-0.1104,-1.9250,-0.3546,0.4346,-0.0561
3.786,1.9749,0.3537,0.4568,-0.1104,-1.9335,-0.3581,0.4346,-0.0561
3.808,1.9895,0.3597,0.4568,-0.1104,-1.9408,-0.3639,0.4382,-0.0564
3.830,1.9977,0.3631,0.4568,-0.1104,-1.9493,-0.3675,0.4418,-0.0567
3.850,2.0050,0.3661,0.4870,-0.1365,-1.9577,-0.3711,0.4418,-0.0567
3.872,2.0132,0.3695,0.4870,-0.1365,-1.9704,-0.3765,0.4773,-0.0787
3.894,2.0286,0.3760,0.4870,-0.1365,-1.9788,-0.3801,0.4813,-0.0793
3.914,2.0359,0.3790,0.4870,-0.1365,-1.9885,-0.3851,0.4813,-0.0793
3.936,2.0432,0.3821,0.4870,-0.1365,-1.9969,-0.3888,0.4854,-0.0799
3.958,2.0595,0.3891,0.4870,-0.1365,-2.0053,-0.3925,0.4854,-0.0799
3.978,2.0667,0.3922,0.4870,-0.1365,-2.0137,-0.3962,0.4892,-0.0804
4.000,2.0740,0.3953,0.4870,-0.1365,-2.0220,-0.4000,0.4933,-0.0810
4.022,2.0812,0.3984,0.4870,-0.1365,-2.0364,-0.4067,0.4933,-0.0810
4.042,2.0956,0.4048,0.4851,-0.1674,-2.0447,-0.4105,0.4974,-0.0816
4.064,2.1038,0.4083,0.4851,-0.1674,-2.0530,-0.4144,0.5012,-0.0822
4.086,2.1110,0.4115,0.4851,-0.1674,-2.0613,-0.4182,0.5012,-0.0822
4.106,2.1191,0.4151,0.4851,-0.1674,-2.0696,-0.4221,0.5053,-0.0827
4.128,2.1352,0.4224,0.4851,-0.1674,-2.0799,-0.4278,0.5093,-0.0833
4.150,2.1433,0.4260,0.4851,-0.1674,-2.0882,-0.4318,0.5093,-0.0833
4.170,2.1514,0.4297,0.4851,-0.1674,-2.0965,-0.4358,0.5132,-0.0839
4.192,2.1586,0.4330,0.4851,-0.1674,-2.1088,-0.4418,0.5132,-0.0839
